,index,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Country,city,name,latitude,longitude
0,"Kabul, Afghanistan",16.64889246,18.07170028,16.11890301,16.6155582,17.00643491,18.3714409,16.98811923,15.97547896,16.3062606,16.4619768,17.22430179,18.28510959,17.93866493,17.01976633,17.89434074,17.2436262,16.54252913,17.4021504,17.85389274,18.34048834,18.2997099,16.07103382,16.67663295,18.55718039,18.08941755,18.80864271,18.25125959,17.5612083,18.02845922,16.61499974,16.61912452,17.69130806,20.406205,17.31109777,15.77742271,16.87684861,17.97705882,17.7096104,18.78687551,16.10127953,17.68226653,17.73531784,19.07680043,18.44678676,17.94083988,19.30025516,18.2819631,17.22690611,17.34127547,17.88726172,20.89176619,18.77204049,19.61914532,18.11421909,18.1412232,19.66354936,20.27908825,22.59134479,19.06044407,21.76192661,20.89217223,18.43217938,21.83647599,18.01402328,22.23109406,19.06538487,21.16225849,22.10415177,18.35798622,18.85266187,18.36035792,20.22326118,18.2296302,19.71951275,17.62799244,17.60868451,21.24451789,21.21111482,21.178231,19.45124527,17.76750125,20.75503566,20.517555,18.03755387,19.79537516,19.35906721,19.34858937,20.10407875,20.80694272,18.41077994,20.08264923,21.14268922,20.13746109,19.23046544,20.1901356,21.54433899,21.6710773,18.59996103,19.49452991,18.62345576,19.78278682,19.01105082,17.73921126,18.61592369,18.58133997,20.30841589,19.52349132,19.68455218,20.26403955,20.52870847,21.08324485,21.01323547,18.52292755,18.93380499,20.13845657,21.42222912,19.75924792,20.46448893,21.35927412,21.44628603,21.62792206,20.96125632,22.08791224,22.91465571,23.51198681,25.47735548,25.05631851,24.59043667,24.16111988,25.99042459,24.16946609,23.87725275,25.30025815,23.9269859,24.05393316,25.01301573,24.82227323,25.74997098,26.55313444,25.27999721,26.48164202,25.8008604,24.587845,25.92068476,26.0009229,27.56833386,28.50219181,30.07083757,29.7091733,30.42498341,29.81973406,33.47500229,32.76666641,31.90833282,29,25.57500267,30.60833549,28.48333549,31.18333435,28.49166298,33.57499695,34.66666412,26.91666603,30.3833313,30.30000114,30.0083313,34.04166794,31.32499886,33.98333359,29.14166832,29.71666718,35.47499847,Afghanistan,Kabul,"Kabul, Afghanistan",34.5260109,69.1776838
1,"Tirana, Albania",10.46568875,9.965611329,10.59891015,10.85061412,10.42442526,10.14284111,10.98389712,10.10248748,10.52605758,11.09798809,9.876561403,11.49490843,10.57515502,10.42613933,11.69219492,10.99168141,11.11723547,11.01725114,11.19436502,10.83415582,10.75018,11.37814036,10.62763879,11.3631902,11.11811313,11.05182729,11.33931903,11.55375032,10.63109366,11.49396506,11.57790569,11.471721,11.60482813,11.99062873,11.31117543,11.88612173,11.54067494,11.37035684,11.94623144,11.61679301,11.36683576,11.90212133,11.72998086,11.68501213,12.32966589,11.97111153,11.90403367,12.7535537,11.56815709,13.07983678,12.93273743,12.66531523,11.91472135,12.66665442,12.30157915,13.0159453,12.63338967,14.33638838,12.87763301,12.88089489,12.8328995,13.42814141,12.63375981,13.10191003,13.25069959,12.70143871,13.21510016,12.6767706,13.40404579,13.51246132,13.06737231,12.41637337,12.75648506,13.08537998,13.75099249,13.82738716,13.88763566,13.9710405,13.41459875,13.58920577,13.08780073,13.91224803,13.1590372,13.27947254,13.84297101,13.7036852,14.00008008,14.8716554,15.36017116,14.88487456,14.63161426,14.52470934,14.39921922,14.68636203,13.62376166,13.1604678,14.53007518,14.93498339,15.43929553,16.14274587,15.31667616,16.49452509,15.85070004,15.93392752,16.54547479,17.76649627,18.2068198,18.22495133,18.86784379,19.08218744,19.94876518,21.04268574,21.37094935,20.8823502,21.81237926,22.52474241,21.68363724,23.02806503,22.75722829,22.96179267,23.16938108,24.23718755,26.06218641,24.80078489,25.86720149,24.70478916,24.78476552,25.37084732,27.26515768,27.52243963,27.41491658,26.05810337,25.86055829,26.1064671,26.03257951,26.89731811,26.13157648,27.18616005,26.21569723,26.09250237,25.07578479,22.53162306,21.18231134,20.14739885,20.1417677,19.01556564,18.25302499,17.74830485,18.31031746,18.14209221,24.2009963,19.43333244,20.375,22.06666756,20.19999886,19.125,22.29166603,21.60833168,20.09166527,19.34166718,18.09166718,22.38333321,19.49166679,18.53333282,16.92499924,18.88333321,16.69999886,17.95833397,18.30833435,17.79166603,16.05833244,16.5,Albania,Tirana,"Tirana, Albania",41.3281482,19.8184435
2,"Algiers, Algeria",5.948866665,6.388587014,6.504152733,6.097177098,6.182560662,6.871036419,6.611731505,6.361436081,6.251932754,6.697579297,6.336006766,7.025179955,6.742127124,6.63448065,6.494891804,6.247976903,6.937655664,6.944644061,6.773004848,6.385958553,6.886659176,6.458058047,6.54058805,6.646118573,6.810948216,6.611194094,6.121609048,6.480774826,6.811216057,6.254500652,6.528685443,6.847640754,7.366131553,6.161480966,6.737747085,6.766646403,6.892516642,6.647965737,6.906151476,6.446276951,7.029212115,7.411867818,6.495129606,6.809816466,7.204430602,6.984001921,6.714166614,6.945123221,6.509172997,7.658390674,7.346590521,7.337478444,7.125619543,7.083753694,7.105952208,7.640928364,7.37784253,7.541474281,8.074783158,7.528820427,7.92666755,7.104814381,7.565934076,7.040176119,7.381570787,7.47107941,7.435860541,7.30179449,6.976456151,7.752078602,7.65143439,6.98715159,7.199842932,7.049796113,7.687439347,8.141956321,8.281297475,8.284394657,8.060824426,8.116622797,7.359184982,7.88276533,7.955256595,7.689238632,7.420134262,8.011432787,8.12689102,7.733633817,8.00901201,7.93755852,7.743325069,7.674924613,7.462329558,8.049618388,7.323487874,7.370937919,7.641727112,8.11832518,8.530322389,7.945727474,8.254315228,9.00457677,8.560178127,8.166251659,8.500313099,8.905052637,9.013512444,8.739974399,9.018858604,9.325385147,8.694496697,9.693034142,9.568926175,9.169767658,9.312178137,10.01031698,9.211872753,9.751148977,10.52653017,10.53586121,10.79868524,10.38597099,11.04840537,10.59563247,11.81243415,12.33436367,11.6483543,11.97526674,11.94671143,12.9492752,12.96137793,12.70817963,12.1867431,13.02663235,12.37714318,13.50585791,12.99313529,14.36409097,14.13873519,14.45099719,13.98683254,13.95960185,13.89790007,13.35586935,13.41242369,13.42414909,13.41562906,13.50394952,13.14886771,13.37631812,13.98190184,13.75,13.23333359,14.31666565,12.36666775,13.13333225,14.38333416,15.6833334,14.20833492,13.84166718,12.80000019,13.22499943,15.50833225,12.95833302,13.65000057,15.38333416,13.98333359,13.46666622,13.85833359,14.40833282,14.03333187,14.49166775,Algeria,Algiers,"Algiers, Algeria",36.7729309,3.0588291
3,"Luanda, Angola",20.59079828,19.85026973,17.95206966,17.79726474,20.58372092,19.61639533,17.2134891,18.19524887,21.57103008,18.2918857,17.503864,19.33402038,17.71009083,17.31319287,19.26474144,17.02539972,18.24384094,20.65012006,19.07270307,17.33815885,17.49568769,17.74533273,18.44504497,19.64099591,20.45173498,18.92939471,17.15061344,19.12149354,20.92871203,18.71558281,16.42623029,19.94848659,18.53070731,17.8436488,19.85511144,20.58815099,21.72934666,20.78802909,19.0779293,18.97524587,21.44065382,20.32939931,20.09966756,18.08090593,20.57486806,21.42363954,18.00176753,19.04589448,21.97245944,17.10647245,17.79703198,17.67923756,18.83494624,19.29841899,20.06536154,19.30973768,19.72729479,18.45578127,19.78579397,19.84644136,20.0933366,20.25813839,18.82879667,20.01679886,21.34569184,18.3015283,16.87558504,18.85539035,22.92892184,18.44688659,19.02701888,20.20859107,17.96469115,21.46817962,17.29620006,18.99671417,19.5248598,22.34467243,16.50731575,20.50122305,21.42386741,17.31381757,20.06845949,19.84273216,20.51228584,19.7010036,19.39497551,21.05100185,20.78081889,24.27658922,21.60398539,19.86641053,18.5708943,19.54516836,18.9715319,20.99695151,19.96084468,17.46956814,21.01235438,17.96051328,21.52484573,19.92490551,20.51165957,20.75372146,19.57715157,22.43362307,20.95556849,24.66630693,22.14270681,20.39826276,20.92473733,18.99116351,20.90427515,21.24910746,19.21497389,20.63829683,19.95253292,23.68685747,22.20121698,23.53306176,19.40893103,21.20463672,21.32825085,22.61769425,22.38364895,20.84993093,21.3751313,24.50034016,23.66848764,20.98914535,22.07054132,21.10789009,20.20197094,17.64166594,23.2136203,19.16400596,20.42014177,17.98181857,24.15186796,20.12399647,19.4212478,21.5316209,20.52398929,19.54433658,20.62803932,19.80399756,19.26636932,16.42183486,24.22144257,18.99770705,17.6974676,23.16666412,18.60833168,16.28333473,17.75,20.26666451,15.38333416,20.80833244,21.99166679,19.02499962,23.25833321,20.39999962,21.29999924,23.79166412,19.99166679,22.42500114,22.25,18.85833359,20.49166679,23.03333473,20.94166756,19.03333473,Angola,Luanda,"Luanda, Angola",-8.8272699,13.2439512
4,"Buenos Aires, Argentina",5.835225293,5.745548289,5.791609228,5.493033263,5.674698703,5.826210545,5.771851574,5.707902126,5.589403651,5.519290615,5.713966681,5.919788597,5.777408815,5.61427135,5.7432762,5.679527622,6.010299039,6.228322761,5.944783659,6.082784629,6.281571424,6.068780168,6.024600675,6.100250941,6.103139709,6.372224535,6.302263702,6.202669912,6.002898762,6.163790079,6.296544616,6.197196235,6.348714078,6.432282178,6.171761045,6.492937988,6.527045345,6.724595581,6.732253988,7.089046972,6.756463809,6.784201725,7.051753895,7.16760883,7.403056121,7.773357722,7.750647987,7.310158203,7.149537598,7.779339954,7.836153259,7.882570526,8.268422927,8.264164883,8.356913141,8.701732379,8.638695011,8.968385891,9.150444546,9.600053465,9.404559029,9.473732352,9.329329164,9.305707249,9.304648201,9.447047045,9.328558007,9.080261995,9.032297747,9.182871532,9.272241641,9.149310902,9.117418727,9.255395266,9.3991525,9.305485131,9.505767393,9.501288482,9.60955003,9.554557173,9.420014962,9.404831849,9.306707269,9.562210852,9.279870295,9.391416594,9.462802359,9.446073545,9.46597516,9.489020831,9.290185186,9.388486936,9.748680283,9.876961374,9.655473498,9.753714131,9.853074771,10.2022397,9.794173206,10.1726958,10.09919387,10.07546031,10.13974831,10.21405274,10.28180836,10.1064248,10.52395226,9.889826331,9.935765162,10.03682563,9.878372549,9.939374602,9.992942919,9.658793056,10.15950703,10.04571125,10.10684273,10.31142295,10.50021914,10.52832363,11.04415057,10.83395431,10.3592301,10.83155384,11.13732702,10.48615955,10.51078563,11.12797456,11.55963896,11.46390491,11.56995603,10.8398889,10.74401857,11.23735394,11.12792363,11.4537047,10.83974143,11.83035227,11.08919717,10.17627802,10.23145533,10.90725303,10.69723063,10.86193058,11.82174408,12.07241672,12.18636618,12.27581101,12.49342899,12.76456003,12.78728446,12.3166666,12.35833359,12.59999943,11.95000076,11.375,12.44999981,12.90000057,13.46666813,13.01666737,11.49166584,12.58333302,12.49166584,12.40833378,12.4333334,12.57500076,12.4416666,12.36666584,12.6916666,12.63333416,13.54166698,13.07499981,Argentina,Buenos Aires,"Buenos Aires, Argentina",-34.6073387,-58.4432852
5,"Yerevan, Armenia",14.44008346,14.95650663,15.06914192,14.46945603,14.38640449,12.76467599,13.49576108,14.41711065,13.17698851,13.54750643,14.43273787,14.54286342,13.78732452,13.82066255,14.9972688,13.97142038,14.42550631,14.93124366,15.23475686,14.22656817,13.98359544,13.54325747,13.4575614,14.78347168,15.06278285,15.04900923,15.60296755,15.12264199,14.97465417,15.63440514,15.24719275,14.05287099,15.70054877,15.76335478,15.08039695,15.55603437,16.38069975,16.16658336,17.40336156,15.68920856,16.00613951,15.58872564,17.49380019,15.90435477,16.24892329,17.8225867,17.7041368,16.32920182,15.94667432,16.78360834,18.98782567,16.517664,16.9072713,17.45807766,17.37511582,18.15028564,16.94677293,18.0522367,16.23185939,17.63049688,17.96536992,17.54087401,18.20544841,18.08143203,17.96582434,17.62722742,18.96848755,20.86927158,19.68697914,18.35326844,20.16956394,19.08824173,19.63717232,21.1458144,18.04129977,18.56245355,17.70064121,18.31579672,18.0746469,18.24490739,18.48169133,18.86014505,19.84699976,19.42777049,19.95994412,19.3953656,21.25265896,20.90706057,21.29221463,21.35985217,20.85667983,21.374547,20.15642128,21.19990404,21.93449918,20.57778568,22.19856972,22.16676077,20.96070699,23.90941095,21.52249062,22.46689005,22.17952375,23.04179014,22.84697908,25.72085221,25.36149484,24.71587573,25.3175607,25.40152859,26.10221538,26.17131477,24.7439762,27.13411772,27.670788,27.24555025,27.2893375,26.5358679,28.68324973,27.69543399,27.55903156,30.70963511,29.86614751,31.1491309,32.84291416,33.05397305,35.87783743,33.7632636,35.37035014,34.36259441,36.11353917,34.1407302,34.76320716,34.44009346,34.42160524,36.3295456,34.47002158,34.48477361,34.31432336,33.27947112,37.5272042,34.79515104,32.56578287,29.20917212,29.68822522,29.21362951,28.18473966,27.86817438,28.67318636,27.66313673,27.64806079,27.01666832,29.33333397,28.72499847,29.25,30.59166527,31.24166679,29.40833473,35.25000381,29.45000267,35.85833359,29.67500305,29.29166603,30.58333397,32.43333817,32.85833359,29.39166451,30.64166451,31.71666908,34.53333664,31.49166679,35.94166565,Armenia,Yerevan,"Yerevan, Armenia",40.1777112,44.5126233
6,"Sydney, Australia",3.186208089,3.045166729,3.336211616,3.322771768,2.837990236,3.003427467,3.154123806,3.496488838,3.320150414,3.185364974,3.124464524,3.594452115,3.323095094,3.03587773,3.216787176,3.533226634,3.110750328,3.310928485,3.193914393,3.502387148,3.301696883,3.587862746,3.48802631,3.368451057,3.282497214,3.185892066,3.403193318,3.440777681,3.381237249,3.385086071,3.314886182,3.697836613,3.147952847,3.319673086,3.386370529,3.562551146,3.316555038,3.567913137,3.510387559,3.729771677,3.65678514,3.487049033,3.655068316,3.760562564,3.667151075,3.657400482,3.537452093,3.687001167,3.84485644,3.496452609,3.626357855,3.887134822,3.411902995,3.780268046,3.719012395,3.967564549,3.932340685,3.69938337,3.676433068,3.696785232,3.766652173,4.210536603,4.054777505,3.770764343,3.801649179,3.944434097,3.709158664,4.018776564,3.953551838,3.694832465,3.782096193,4.223216031,3.941847335,3.748539233,3.948542164,4.163607826,3.944626566,3.802295033,3.904430216,3.849267891,3.89135948,3.80359145,3.775420153,3.610582598,3.78738522,4.007786476,3.738464878,4.019260718,3.64106324,4.067339997,3.830536031,3.753708843,3.930582484,4.012247039,3.745993042,3.816256614,3.733166096,3.76540983,3.907695692,3.857698361,4.451365332,4.504930908,4.504722047,4.106386894,4.497562734,4.230577811,4.693390673,4.871176699,4.661154755,4.363219517,4.656289292,4.440170123,4.615531502,4.384757403,4.465750498,4.733087337,4.64099051,4.619336258,4.476805237,4.888869567,4.796635506,5.012821263,4.841360335,4.417248612,4.788961701,4.965956829,5.081040977,4.951723414,5.143608623,4.92908179,4.855408834,4.877317417,4.821671574,4.746505113,4.718599887,4.788227141,4.597916508,4.386835754,4.657295791,4.909282715,4.899076235,4.696489825,4.595838673,5.185037123,4.818152991,4.815791477,5.045143513,6.388621868,4.901630053,4.885620721,4.570053048,6.916667461,8.966666222,7.533332825,7.016666889,6.325000286,6.400000095,5.608333111,5.450000286,5.883333206,5.025000095,5.06666708,5.841667175,7.533332825,7.100000381,7.058333874,7.250000477,6.983333111,7.625,13.78333378,7.616666794,6,Australia,Sydney,"Sydney, Australia",-33.8698439,151.2082848
7,"Canberra, Australia",4.126321517,3.938161861,4.328398649,4.170104649,3.536480455,3.88983637,3.970844222,4.387919393,4.184285499,4.053357955,3.836814569,4.495516122,4.096921542,3.91563595,4.206096656,4.397241723,3.90508152,4.179843966,4.021496445,4.334777905,4.187190687,4.578280649,4.42932055,4.085029916,4.095194028,3.947634422,4.185966342,4.330847117,4.202189508,4.257084743,4.014404838,4.662241271,3.768955071,3.991892989,4.1625277,4.314563063,3.899065224,4.295608795,4.31709299,4.441862576,4.247723656,4.151126079,4.219257327,4.403978309,4.416965925,4.312134575,4.225127994,4.416963439,4.567546854,4.113255383,4.133733743,4.465661547,3.887457658,4.366553271,4.256271867,4.539605454,4.454231883,4.165539057,4.232879972,4.252096252,4.188648139,4.822237738,4.693119581,4.177617008,4.235512168,4.453728784,4.139670972,4.598716285,4.444884044,4.167514733,4.131669788,4.87593581,4.478671686,4.275810039,4.472505867,4.676014158,4.400160374,4.20951309,4.461312922,4.27880623,4.447557313,4.318872926,4.307282331,4.080108423,4.226381562,4.654021805,4.343098977,4.504634052,4.003687968,4.698162859,4.32314537,4.179823025,4.384507458,4.573901274,4.08416081,4.391186678,4.175339753,4.188887811,4.377225485,4.274160005,4.854179324,4.829069555,5.006574073,4.466688455,4.894348971,4.549547516,5.204211376,5.369767708,5.076983594,4.55460396,4.844134896,4.654955734,4.728000746,4.555611512,4.765348215,4.89025893,4.868212306,4.580653469,4.715508245,5.137061612,5.001888476,5.360014096,5.109238004,4.621171486,5.08528093,5.195471995,5.567399997,5.070382891,5.323008074,5.369740188,5.039471221,5.216381015,5.147828246,5.070095718,4.972004471,5.138802737,4.90098532,4.739642406,5.026271975,5.278493211,5.143887685,4.922880297,4.80163968,5.370688935,4.873919856,5.030919999,5.270953335,5.549606167,5.117605688,5.678905624,4.838755337,6.141666889,7.208333492,10.95833302,6.174999714,5.775000095,7.191666126,5.816666126,5.258332729,5.974999905,5.43333292,5.291666508,5.158333778,6.100000381,5.75,5.708333492,5.575000286,5.666666031,7.266666412,13.22499943,9.400000572,5.450000286,Australia,Canberra,"Canberra, Australia",-35.2975906,149.1012676
8,"Baku, Azerbaijan",18.20047505,23.08551342,20.73783764,19.68083172,19.83227352,18.3825816,19.99254778,19.52459597,15.87640792,15.47480939,21.10443228,17.0996439,19.85749941,15.87352031,18.2809634,18.95490418,20.80194181,19.11665616,20.74977769,17.58730969,16.95067533,15.37958754,16.04593948,15.82776351,17.20568346,16.7298053,20.97237129,17.59028633,18.9652839,17.91199541,20.89423315,15.76577119,19.80340632,18.93144097,15.34810226,16.73662928,22.43349429,20.32348645,22.86081534,17.62319559,17.373436,15.09442322,21.53987869,16.8518,20.32687369,19.20358552,19.62062064,18.42975018,15.60429227,17.63662627,26.99165666,16.26027042,18.57691854,22.98746943,18.73341495,19.93245719,18.38909981,19.82531063,15.83453125,18.86690771,18.15972663,17.32812852,22.4817572,20.05840898,17.9105599,17.50114368,19.74174413,22.10664245,25.16929769,18.19613961,19.2306898,21.40923877,22.18764248,20.28537167,16.6177501,15.68322273,19.17436172,20.41416687,17.6342452,22.13850595,21.87763469,18.53846638,26.91149384,19.63306356,21.64403771,20.05755606,26.3299445,20.03232749,21.7489103,24.18917018,23.84953712,22.0130911,19.58069811,19.02597802,22.08285127,18.77334138,20.17187066,19.71527553,19.4958372,23.06943282,21.03868138,21.59017038,18.56223442,20.44448311,21.84840103,23.23927071,24.77932425,21.26199077,22.01179021,22.71797737,24.68749317,24.58950145,19.8176732,25.57927675,23.91130509,24.10855821,24.3830411,21.88756171,25.55248998,23.64713179,21.59254549,23.74621515,26.01206844,23.01109091,26.66589262,26.72664082,28.61282021,26.50229391,25.88332809,22.68971698,28.11512956,27.3996737,26.37849932,25.7661576,24.87075283,29.51107637,26.61462513,26.69051534,26.17827988,25.87868472,32.27788949,28.08450726,27.75730203,26.4031733,26.27594591,26.87075328,26.992821,24.90010644,26.38935736,26.1887172,27.55155829,26.51666451,24.69999886,24.60833168,23.40833282,24.39166832,27.55833244,27.69999886,32.29999924,28.65000153,30.94166756,24.00833321,24.23333168,26.20000267,30,23.57500267,21.90000153,26.30000305,25.64166832,23.69999886,23.7583313,28.76667023,Azerbaijan,Baku,"Baku, Azerbaijan",40.3755885,49.8328009
9,"Manama, Bahrain",24.59121599,26.31429921,26.54519318,26.55150905,26.6972954,28.00228344,27.51374143,27.95650586,25.83552756,26.37105252,25.98311064,26.73364014,28.54443184,29.22538807,28.91669569,24.72637849,28.18908371,27.5499296,26.63865656,25.47813135,28.39562069,28.45712475,28.13768912,28.91794696,27.18692969,27.65254999,25.55326936,27.98310225,30.56302827,28.1995196,26.40364883,27.39189615,27.88870882,25.97985493,25.02823732,25.81287437,28.02217556,30.61315689,27.06063055,25.88667382,28.32457789,27.74273553,29.7169549,26.30243573,26.3413777,29.26007891,29.0719863,26.5541234,29.23162296,28.30332841,29.93570999,29.07901837,29.01742179,27.25067396,30.80770775,29.25769253,25.85039654,29.63109775,27.62831588,29.6485726,30.77405348,25.56483363,28.41507085,27.45869444,31.18240857,29.46372297,30.83622889,29.91734486,27.64395256,26.01884742,26.66547739,28.89692214,28.60034071,26.88301341,28.72938409,24.69900355,28.01834973,25.97587842,27.47891746,27.77997359,26.48761036,31.36606799,24.9640745,25.6422834,28.89205215,26.19306282,28.78594293,29.50015797,29.63988134,27.1556707,30.00135128,29.72961474,28.06766054,28.53432297,29.38458738,29.646009,30.7636962,31.51646035,30.28001776,30.70149101,29.46396264,27.90772904,28.7249242,28.88892783,30.04569004,32.74536993,30.59323515,28.16969399,30.69360508,30.13074655,32.01710854,32.04865325,31.3945873,31.739247,32.17895787,33.47727059,31.48532792,34.34371974,37.18001295,35.42595635,37.19615193,38.78463931,39.33457736,44.43606586,42.14657782,44.02539219,43.55335763,43.00361062,42.94450571,43.23045709,39.96958235,38.76284364,40.84812558,41.59728838,42.30464759,40.94797872,42.2851562,49.58850966,46.29254725,45.1473305,47.00497133,46.1113519,46.27031766,47.498358,49.28469025,50.74073184,49.29471942,50.27654839,49.71834271,50.37410772,51.70560457,52.125,44.96667099,56.67499924,51.75,52.34999466,47.6416626,51.17499924,56.5083313,57.32500076,52.20833206,52.05833817,56.06666565,50.54166031,44.875,53.8666687,50.32500076,52.57500076,58.27500534,49.85833359,47.75833511,51.70000076,Bahrain,Manama,"Manama, Bahrain",-8.79691,125.45785
