,location,latitude,longitude,index,year
0,"Kabul, Afghanistan",34.5260109,69.1776838,16.64889246,1850
1,"Tirana, Albania",41.3281482,19.8184435,10.46568875,1850
2,"Algiers, Algeria",36.7729309,3.0588291,5.948866665,1850
3,"Luanda, Angola",-8.8272699,13.2439512,20.59079828,1850
4,"Buenos Aires, Argentina",-34.6073387,-58.4432852,5.835225293,1850
5,"Yerevan, Armenia",40.1777112,44.5126233,14.44008346,1850
6,"Sydney, Australia",-33.8698439,151.2082848,3.186208089,1850
7,"Canberra, Australia",-35.2975906,149.1012676,4.126321517,1850
8,"Baku, Azerbaijan",40.3755885,49.8328009,18.20047505,1850
9,"Manama, Bahrain",-8.79691,125.45785,24.59121599,1850
10,"Dhaka, Bangladesh",23.7644025,90.389015,28.85844606,1850
11,"Minsk, Belarus",53.9024716,27.5618225,13.46070731,1850
12,"Brussels, Belgium",50.8550018,4.35123337611662,17.62086602,1850
13,"Cotonou, Benin",6.3676953,2.4252507,21.66475735,1850
14,"Thimphu, Bhutan",27.4713546,89.6336729,9.773999065,1850
15,"La Paz, Bolivia",-16.4955455,-68.1336229,11.83235586,1850
16,"Gaborone, Botswana",-24.6581357,25.9088474,8.388863495,1850
17,"Brasília, Brazil",-10.3333333,-53.2,4.260219509,1850
18,"Sofia, Bulgaria",-15.2538402,48.2562163,13.78295673,1850
19,"Ouagadougou, Burkina Faso",12.3681873,-1.5270944,39.98984525,1850
20,"Bujumbura, Burundi",-3.3638125,29.3675028,16.40380159,1850
21,"Phnom Penh, Cambodia",11.568271,104.9224426,27.20256729,1850
22,"Yaoundé, Cameroon",3.8689867,11.5213344,34.66754416,1850
23,"Ottawa, Canada",45.4110870626566,-75.7083256476122,6.47500572,1850
24,"Bangui, CAR",4.3635118,18.5835913,32.50397722,1850
25,"N'Djaména, Chad",12.1191543,15.0502758,44.85450077,1850
26,"Santiago, Chile",-33.4377756,-70.6504502,4.460571953,1850
27,"Hangzhou, China",30.2489634,120.2052342,15.2098414,1850
28,"Beijing, China",40.190632,116.412144,12.2977528,1850
29,"Bogotá, Colombia",4.6533816,-74.0836333,7.608988928,1850
30,"Brazzaville, Congo",-4.2694407,15.2712256,38.18410491,1850
31,"San José, Costa Rica",9.9325427,-84.0795782,13.44477184,1850
32,"Abidjan, Côte d'Ivoire",5.320357,-4.016107,14.42760767,1850
33,"Zagreb, Croatia",45.8130967,15.9772795,12.76041107,1850
34,"Havana, Cuba",23.135305,-82.3589631,5.534942495,1850
35,"Nicosia, Cyprus",35.1746503,33.3638783,10.63944829,1850
36,"Prague, Czechia",50.0874654,14.4212535,18.75005781,1850
37,"Kinshasa, DRC",-4.3217055,15.3125974,37.60578006,1850
38,"Copenhagen, Denmark",55.6867243,12.5700724,10.07586404,1850
39,"Djibouti, Djibouti",11.8145966,42.8453061,30.73623773,1850
40,"Cairo, Egypt",30.0443879,31.2357257,18.37133737,1850
